Name,Location,Country,Brand,Sources,Rel_Score,Strat_Score,Asset_Score,Market_Score,Edit_Score
"Carlton Hotel St. Moritz","St. Moritz","Switzerland","Tschuggen Collection","DMW Swiss Alps Watchlist",,,,,
"Suvretta House","St. Moritz","Switzerland","Independent","DMW Swiss Alps Watchlist",,,,,
"Grace La Margna St Moritz","St. Moritz","Switzerland","Independent","DMW Swiss Alps Watchlist",,,,,
"Grand Hotel des Bains Kempinski St. Moritz","St. Moritz Bad","Switzerland","Kempinski","DMW Swiss Alps Watchlist",,,,,
"Giardino Mountain","Champfèr","Switzerland","Giardino Hotels","DMW Swiss Alps Watchlist",,,,,
"Hotel Waldhaus Sils","Sils-Maria","Switzerland","Independent","DMW Swiss Alps Watchlist",,,,,
"Grand Hotel Kronenhof","Pontresina","Switzerland","Independent","DMW Swiss Alps Watchlist",,,,,
"Hotel Walther","Pontresina","Switzerland","Relais & Châteaux","DMW Swiss Alps Watchlist",,,,,
"IN LAIN Hotel Cadonau","Brail","Switzerland","Relais & Châteaux","DMW Swiss Alps Watchlist",,,,,
"Nira Alpina","Silvaplana-Surlej","Switzerland","Design Hotels","DMW Swiss Alps Watchlist",,,,,
"Art Boutique Hotel Monopol","St. Moritz","Switzerland","Independent","DMW Swiss Alps Watchlist",,,,,
"AlpenGold Hotel Davos","Davos Dorf","Switzerland","Independent","DMW Swiss Alps Watchlist",,,,,
"Steigenberger Grandhotel Belvédère","Davos Platz","Switzerland","Steigenberger","DMW Swiss Alps Watchlist",,,,,
"Hotel Flüela Davos, The Unbound Collection by Hyatt","Davos Dorf","Switzerland","Hyatt","DMW Swiss Alps Watchlist",,,,,
"Precise Tale Seehof Davos","Davos Dorf","Switzerland","Precise Hotels","DMW Swiss Alps Watchlist",,,,,
